
,,,Salary,Salary,Salary,Salary,Salary,,
298,Luigi Datome,DET,$1750000,,,,,Cap Space,$1750000
299,Tyler Zeller,BOS,$1703760,$2616975,,,,1st Round Pick,$1703760
300,Dennis Schröder,ATL,$1690680,$1763400,$2708582,,,1st Round Pick,$1690680
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
301,James Young,BOS,$1674480,$1749840,$1825200,$2803507,,1st Round Pick,$3424320
302,Pablo Prigioni,NYK,$1662961,$1734572,,,,MLE,$3544311
303,Ryan Kelly,LAL,$1650000,$1724250,,,,Room Exception,$3374250
304,Terrence Jones,HOU,$1618680,$2489530,,,,1st Round Pick,$1618680
305,Shane Larkin,NYK,$1606080,$1675320,$2576642,,,1st Round Pick,$1606080
306,Tyler Ennis,PHO,$1590720,$1662360,$1733880,$2666707,,1st Round Pick,$3253080
307,Andrew Nicholson,ORL,$1545840,$2380594,,,,1st Round Pick,$1545840
308,Sergey Karasev,BRK,$1533840,$1599840,$2463754,,,1st Round Pick,$1533840
309,Gary Harris,DEN,$1519200,$1587480,$1655880,$2550055,,1st Round Pick,$3106680
310,Ronny Turiaf,MIN,$1500000,,,,,Room Exception,$1500000
311,Evan Fournier,ORL,$1483920,$2288205,,,,1st Round Pick,$1483920
312,Donatas Motiejunas,HOU,$1483920,$2288205,,,,1st Round Pick,$1483920
313,Tony Snell,CHI,$1472400,$1535880,$2368327,,,1st Round Pick,$1472400
314,Bruno Caboclo,TOR,$1458360,$1524000,$1589640,$2451225,,1st Round Pick,$2982360
315,Rasual Butler,WAS,$1448490,,,,,Minimum Salary,
316,Willie Green,ORL,$1448490,,,,,Non Bird Rights,$1448490
317,Hedo Turkoglu,LAC,$1448490,,,,,Minimum Salary,$1448490
318,Leandro Barbosa,GSW,$1448490,,,,,Minimum Salary,$150000
319,Shawn Marion,CLE,$1448490,,,,,Minimum Salary,$1448490
320,James Jones,CLE,$1448490,,,,,Minimum Salary,$1448490
,,,Salary,Salary,Salary,Salary,Salary,,
